seq,edge_id,point_index,x,y,lon,lat
81,-73530943#9,0,826.1949999999999,868.23,145.1359040184943,-37.91267179660908
81,-73530943#9,1,829.46,876.25,145.13594296631524,-37.912600138608916
81,-73530943#9,2,835.815,893.75,145.13601920388018,-37.91244363898791
82,-73530943#8,0,839.915,904.91,145.13606835959735,-37.91234384543651
82,-73530943#8,1,843.765,915.245,145.13611448503318,-37.91225143863695
83,-73530943#7,0,845.5350000000001,920.255,145.13613574950364,-37.91220662610928
83,-73530943#7,1,868.2650000000001,988.15,145.1364096300601,-37.91159910455289
84,-73530943#6,0,869.61,993.505,145.13642614024386,-37.91155110756877
84,-73530943#6,1,873.85,1022.9300000000001,145.13648103836408,-37.91128680320068
85,-73530943#5,0,875.185,1032.2350000000001,145.13649833257188,-37.911203221783616
85,-73530943#5,1,881.575,1076.715,145.13658109768792,-37.91080368519449
85,-73530943#5,2,885.715,1105.51,145.13663471439855,-37.91054503788929
85,-73530943#5,3,887.355,1116.75,145.13665591586377,-37.9104440803696
86,-73530943#4,0,888.7049999999999,1126.04,145.13667337677836,-37.91036063672999
86,-73530943#4,1,888.9549999999999,1127.77,145.13667661246487,-37.91034509745741
87,-73530943#3,0,889.595,1132.785,145.13668502904324,-37.910300036277
87,-73530943#3,1,890.125,1137.4899999999998,145.13669212445717,-37.9102577478489
88,-73530943#2,0,890.74,1142.615,145.13670028176418,-37.91021169125608
88,-73530943#2,1,897.09,1191.4299999999998,145.13678357482144,-37.90977309638955
88,-73530943#2,2,898.375,1201.2350000000001,145.13680041339458,-37.90968500175613
89,298236188#0,0,895.56,1204.75,145.13676920593596,-37.90965283086934
89,298236188#0,1,892.36,1205.2,145.1367329245382,-37.90964820097272
90,298236188#1,0,887.33,1206.07,145.13667593169296,-37.909639458081685
90,298236188#1,1,880.8,1205.75,145.13660161356452,-37.90964116488893
90,298236188#1,2,876.96,1203.32,145.13655740087762,-37.90966236348257
91,299173863,0,867.99,1197.45,145.13645407868617,-37.909713626651275
91,299173863,1,866.47,1197.01,145.13643669642218,-37.909717316555046
91,299173863,2,853.12,1196.94,145.13628489230751,-37.909715542879006
92,988580230#0,0,849.91,1193.86,145.13624769477013,-37.90974271018404
92,988580230#0,1,849.39,1158.32,145.13623370330006,-37.91006277002045
93,E9,0,842.83,1153.03,145.1361579137888,-37.91010924217239
93,E9,1,831.28,1154.61,145.13602694995072,-37.91009292872404
94,E10,0,829.9,1156.22,145.13601162544742,-37.91007817685364
94,E10,1,830.82,1251.86,145.13604382932758,-37.90921679283494
